φ,Si-Si-Si-Si,Total,Si-Si-Si-Si_smoothed,Total_smoothed
°,°⁻¹,°⁻¹,°⁻¹,°⁻¹
Dihedral Angle Distribution,Si-Si-Si-Si,Total,Si-Si-Si-Si_smoothed,Total_smoothed
-179.50000,0.09645,0.09645,0.06746,0.06746
-178.50000,0.00000,0.00000,0.02899,0.02899
-177.50000,0.00000,0.00000,0.00565,0.00565
-176.50000,0.00000,0.00000,0.00044,0.00044
-175.50000,0.00000,0.00000,0.00001,0.00001
-174.50000,0.00000,0.00000,0.00000,0.00000
-173.50000,0.00000,0.00000,0.00000,0.00000
-172.50000,0.00000,0.00000,0.00000,0.00000
-171.50000,0.00000,0.00000,0.00000,0.00000
-170.50000,0.00000,0.00000,0.00000,0.00000
-169.50000,0.00000,0.00000,0.00000,0.00000
-168.50000,0.00000,0.00000,0.00000,0.00000
-167.50000,0.00000,0.00000,0.00000,0.00000
-166.50000,0.00000,0.00000,0.00000,0.00000
-165.50000,0.00000,0.00000,0.00000,0.00000
-164.50000,0.00000,0.00000,0.00000,0.00000
-163.50000,0.00000,0.00000,0.00000,0.00000
-162.50000,0.00000,0.00000,0.00000,0.00000
-161.50000,0.00000,0.00000,0.00000,0.00000
-160.50000,0.00000,0.00000,0.00000,0.00000
-159.50000,0.00000,0.00000,0.00000,0.00000
-158.50000,0.00000,0.00000,0.00000,0.00000
-157.50000,0.00000,0.00000,0.00000,0.00000
-156.50000,0.00000,0.00000,0.00000,0.00000
-155.50000,0.00000,0.00000,0.00000,0.00000
-154.50000,0.00000,0.00000,0.00000,0.00000
-153.50000,0.00000,0.00000,0.00000,0.00000
-152.50000,0.00000,0.00000,0.00000,0.00000
-151.50000,0.00000,0.00000,0.00000,0.00000
-150.50000,0.00000,0.00000,0.00000,0.00000
-149.50000,0.00000,0.00000,0.00000,0.00000
-148.50000,0.00000,0.00000,0.00000,0.00000
-147.50000,0.00000,0.00000,0.00000,0.00000
-146.50000,0.00000,0.00000,0.00000,0.00000
-145.50000,0.00000,0.00000,0.00000,0.00000
-144.50000,0.00000,0.00000,0.00000,0.00000
-143.50000,0.00000,0.00000,0.00000,0.00000
-142.50000,0.00000,0.00000,0.00000,0.00000
-141.50000,0.00000,0.00000,0.00000,0.00000
-140.50000,0.00000,0.00000,0.00000,0.00000
-139.50000,0.00000,0.00000,0.00000,0.00000
-138.50000,0.00000,0.00000,0.00000,0.00000
-137.50000,0.00000,0.00000,0.00000,0.00000
-136.50000,0.00000,0.00000,0.00000,0.00000
-135.50000,0.00000,0.00000,0.00000,0.00000
-134.50000,0.00000,0.00000,0.00000,0.00000
-133.50000,0.00000,0.00000,0.00000,0.00000
-132.50000,0.00000,0.00000,0.00000,0.00000
-131.50000,0.00000,0.00000,0.00000,0.00000
-130.50000,0.00000,0.00000,0.00000,0.00000
-129.50000,0.00000,0.00000,0.00000,0.00000
-128.50000,0.00000,0.00000,0.00000,0.00000
-127.50000,0.00000,0.00000,0.00000,0.00000
-126.50000,0.00000,0.00000,0.00000,0.00000
-125.50000,0.00000,0.00000,0.00000,0.00000
-124.50000,0.00000,0.00000,0.00000,0.00000
-123.50000,0.00000,0.00000,0.00000,0.00000
-122.50000,0.00000,0.00000,0.00000,0.00000
-121.50000,0.00000,0.00000,0.00000,0.00000
-120.50000,0.00000,0.00000,0.00000,0.00000
-119.50000,0.00000,0.00000,0.00000,0.00000
-118.50000,0.00000,0.00000,0.00000,0.00000
-117.50000,0.00000,0.00000,0.00000,0.00000
-116.50000,0.00000,0.00000,0.00000,0.00000
-115.50000,0.00000,0.00000,0.00000,0.00000
-114.50000,0.00000,0.00000,0.00000,0.00000
-113.50000,0.00000,0.00000,0.00000,0.00000
-112.50000,0.00000,0.00000,0.00000,0.00000
-111.50000,0.00000,0.00000,0.00000,0.00000
-110.50000,0.00000,0.00000,0.00000,0.00000
-109.50000,0.00000,0.00000,0.00000,0.00000
-108.50000,0.00000,0.00000,0.00000,0.00000
-107.50000,0.00000,0.00000,0.00000,0.00000
-106.50000,0.00000,0.00000,0.00000,0.00000
-105.50000,0.00000,0.00000,0.00000,0.00000
-104.50000,0.00000,0.00000,0.00000,0.00000
-103.50000,0.00000,0.00000,0.00000,0.00000
-102.50000,0.00000,0.00000,0.00000,0.00000
-101.50000,0.00000,0.00000,0.00000,0.00000
-100.50000,0.00000,0.00000,0.00000,0.00000
-99.50000,0.00000,0.00000,0.00000,0.00000
-98.50000,0.00000,0.00000,0.00000,0.00000
-97.50000,0.00000,0.00000,0.00000,0.00000
-96.50000,0.00000,0.00000,0.00000,0.00000
-95.50000,0.00000,0.00000,0.00000,0.00000
-94.50000,0.00000,0.00000,0.00000,0.00000
-93.50000,0.00000,0.00000,0.00000,0.00000
-92.50000,0.00000,0.00000,0.00000,0.00000
-91.50000,0.00000,0.00000,0.00000,0.00000
-90.50000,0.00000,0.00000,0.00000,0.00000
-89.50000,0.00000,0.00000,0.00000,0.00000
-88.50000,0.00000,0.00000,0.00000,0.00000
-87.50000,0.00000,0.00000,0.00000,0.00000
-86.50000,0.00000,0.00000,0.00000,0.00000
-85.50000,0.00000,0.00000,0.00000,0.00000
-84.50000,0.00000,0.00000,0.00000,0.00000
-83.50000,0.00000,0.00000,0.00000,0.00000
-82.50000,0.00000,0.00000,0.00000,0.00000
-81.50000,0.00000,0.00000,0.00000,0.00000
-80.50000,0.00000,0.00000,0.00000,0.00000
-79.50000,0.00000,0.00000,0.00000,0.00000
-78.50000,0.00000,0.00000,0.00000,0.00000
-77.50000,0.00000,0.00000,0.00000,0.00000
-76.50000,0.00000,0.00000,0.00000,0.00000
-75.50000,0.00000,0.00000,0.00000,0.00000
-74.50000,0.00000,0.00000,0.00000,0.00000
-73.50000,0.00000,0.00000,0.00000,0.00000
-72.50000,0.00000,0.00000,0.00000,0.00000
-71.50000,0.00000,0.00000,0.00000,0.00000
-70.50000,0.00000,0.00000,0.00000,0.00000
-69.50000,0.00000,0.00000,0.00000,0.00000
-68.50000,0.00000,0.00000,0.00000,0.00000
-67.50000,0.00000,0.00000,0.00000,0.00000
-66.50000,0.00000,0.00000,0.00000,0.00000
-65.50000,0.00000,0.00000,0.00000,0.00000
-64.50000,0.00000,0.00000,0.00002,0.00002
-63.50000,0.00000,0.00000,0.00057,0.00057
-62.50000,0.00000,0.00000,0.00756,0.00756
-61.50000,0.00000,0.00000,0.04106,0.04106
-60.50000,0.12269,0.12269,0.09992,0.09992
-59.50000,0.21065,0.21065,0.11372,0.11372
-58.50000,0.00000,0.00000,0.05759,0.05759
-57.50000,0.00000,0.00000,0.01192,0.01192
-56.50000,0.00000,0.00000,0.00095,0.00095
-55.50000,0.00000,0.00000,0.00003,0.00003
-54.50000,0.00000,0.00000,0.00000,0.00000
-53.50000,0.00000,0.00000,0.00000,0.00000
-52.50000,0.00000,0.00000,0.00000,0.00000
-51.50000,0.00000,0.00000,0.00000,0.00000
-50.50000,0.00000,0.00000,0.00000,0.00000
-49.50000,0.00000,0.00000,0.00000,0.00000
-48.50000,0.00000,0.00000,0.00000,0.00000
-47.50000,0.00000,0.00000,0.00000,0.00000
-46.50000,0.00000,0.00000,0.00000,0.00000
-45.50000,0.00000,0.00000,0.00000,0.00000
-44.50000,0.00000,0.00000,0.00000,0.00000
-43.50000,0.00000,0.00000,0.00000,0.00000
-42.50000,0.00000,0.00000,0.00000,0.00000
-41.50000,0.00000,0.00000,0.00000,0.00000
-40.50000,0.00000,0.00000,0.00000,0.00000
-39.50000,0.00000,0.00000,0.00000,0.00000
-38.50000,0.00000,0.00000,0.00000,0.00000
-37.50000,0.00000,0.00000,0.00000,0.00000
-36.50000,0.00000,0.00000,0.00000,0.00000
-35.50000,0.00000,0.00000,0.00000,0.00000
-34.50000,0.00000,0.00000,0.00000,0.00000
-33.50000,0.00000,0.00000,0.00000,0.00000
-32.50000,0.00000,0.00000,0.00000,0.00000
-31.50000,0.00000,0.00000,0.00000,0.00000
-30.50000,0.00000,0.00000,0.00000,0.00000
-29.50000,0.00000,0.00000,0.00000,0.00000
-28.50000,0.00000,0.00000,0.00000,0.00000
