r,Si-Si,Total,Si-Si_smoothed,Total_smoothed
Å,Å⁻¹,Å⁻¹,Å⁻¹,Å⁻¹
Radial Distribution Function,Si-Si,Total,Si-Si_smoothed,Total_smoothed
0.01000,0.00000,0.00000,0.00000,0.00000
0.03000,0.00000,0.00000,0.00000,0.00000
0.05000,0.00000,0.00000,0.00000,0.00000
0.07000,0.00000,0.00000,0.00000,0.00000
0.09000,0.00000,0.00000,0.00000,0.00000
0.11000,0.00000,0.00000,0.00000,0.00000
0.13000,0.00000,0.00000,0.00000,0.00000
0.15000,0.00000,0.00000,0.00000,0.00000
0.17000,0.00000,0.00000,0.00000,0.00000
0.19000,0.00000,0.00000,0.00000,0.00000
0.21000,0.00000,0.00000,0.00000,0.00000
0.23000,0.00000,0.00000,0.00000,0.00000
0.25000,0.00000,0.00000,0.00000,0.00000
0.27000,0.00000,0.00000,0.00000,0.00000
0.29000,0.00000,0.00000,0.00000,0.00000
0.31000,0.00000,0.00000,0.00000,0.00000
0.33000,0.00000,0.00000,0.00000,0.00000
0.35000,0.00000,0.00000,0.00000,0.00000
0.37000,0.00000,0.00000,0.00000,0.00000
0.39000,0.00000,0.00000,0.00000,0.00000
0.41000,0.00000,0.00000,0.00000,0.00000
0.43000,0.00000,0.00000,0.00000,0.00000
0.45000,0.00000,0.00000,0.00000,0.00000
0.47000,0.00000,0.00000,0.00000,0.00000
0.49000,0.00000,0.00000,0.00000,0.00000
0.51000,0.00000,0.00000,0.00000,0.00000
0.53000,0.00000,0.00000,0.00000,0.00000
0.55000,0.00000,0.00000,0.00000,0.00000
0.57000,0.00000,0.00000,0.00000,0.00000
0.59000,0.00000,0.00000,0.00000,0.00000
0.61000,0.00000,0.00000,0.00000,0.00000
0.63000,0.00000,0.00000,0.00000,0.00000
0.65000,0.00000,0.00000,0.00000,0.00000
0.67000,0.00000,0.00000,0.00000,0.00000
0.69000,0.00000,0.00000,0.00000,0.00000
0.71000,0.00000,0.00000,0.00000,0.00000
0.73000,0.00000,0.00000,0.00000,0.00000
0.75000,0.00000,0.00000,0.00000,0.00000
0.77000,0.00000,0.00000,0.00000,0.00000
0.79000,0.00000,0.00000,0.00000,0.00000
0.81000,0.00000,0.00000,0.00000,0.00000
0.83000,0.00000,0.00000,0.00000,0.00000
0.85000,0.00000,0.00000,0.00000,0.00000
0.87000,0.00000,0.00000,0.00000,0.00000
0.89000,0.00000,0.00000,0.00000,0.00000
0.91000,0.00000,0.00000,0.00000,0.00000
0.93000,0.00000,0.00000,0.00000,0.00000
0.95000,0.00000,0.00000,0.00000,0.00000
0.97000,0.00000,0.00000,0.00000,0.00000
0.99000,0.00000,0.00000,0.00000,0.00000
1.01000,0.00000,0.00000,0.00000,0.00000
1.03000,0.00000,0.00000,0.00000,0.00000
1.05000,0.00000,0.00000,0.00000,0.00000
1.07000,0.00000,0.00000,0.00000,0.00000
1.09000,0.00000,0.00000,0.00000,0.00000
1.11000,0.00000,0.00000,0.00000,0.00000
1.13000,0.00000,0.00000,0.00000,0.00000
1.15000,0.00000,0.00000,0.00000,0.00000
1.17000,0.00000,0.00000,0.00000,0.00000
1.19000,0.00000,0.00000,0.00000,0.00000
1.21000,0.00000,0.00000,0.00000,0.00000
1.23000,0.00000,0.00000,0.00000,0.00000
1.25000,0.00000,0.00000,0.00000,0.00000
1.27000,0.00000,0.00000,0.00000,0.00000
1.29000,0.00000,0.00000,0.00000,0.00000
1.31000,0.00000,0.00000,0.00000,0.00000
1.33000,0.00000,0.00000,0.00000,0.00000
1.35000,0.00000,0.00000,0.00000,0.00000
1.37000,0.00000,0.00000,0.00000,0.00000
1.39000,0.00000,0.00000,0.00000,0.00000
1.41000,0.00000,0.00000,0.00000,0.00000
1.43000,0.00000,0.00000,0.00000,0.00000
1.45000,0.00000,0.00000,0.00000,0.00000
1.47000,0.00000,0.00000,0.00000,0.00000
1.49000,0.00000,0.00000,0.00000,0.00000
1.51000,0.00000,0.00000,0.00000,0.00000
1.53000,0.00000,0.00000,0.00000,0.00000
1.55000,0.00000,0.00000,0.00000,0.00000
1.57000,0.00000,0.00000,0.00000,0.00000
1.59000,0.00000,0.00000,0.00000,0.00000
1.61000,0.00000,0.00000,0.00000,0.00000
1.63000,0.00000,0.00000,0.00000,0.00000
1.65000,0.00000,0.00000,0.00000,0.00000
1.67000,0.00000,0.00000,0.00000,0.00000
1.69000,0.00000,0.00000,0.00000,0.00000
1.71000,0.00000,0.00000,0.00000,0.00000
1.73000,0.00000,0.00000,0.00000,0.00000
1.75000,0.00000,0.00000,0.00000,0.00000
1.77000,0.00000,0.00000,0.00000,0.00000
1.79000,0.00000,0.00000,0.00000,0.00000
1.81000,0.00000,0.00000,0.00000,0.00000
1.83000,0.00000,0.00000,0.00000,0.00000
1.85000,0.00000,0.00000,0.00000,0.00000
1.87000,0.00000,0.00000,0.00000,0.00000
1.89000,0.00000,0.00000,0.00000,0.00000
1.91000,0.00000,0.00000,0.00000,0.00000
1.93000,0.00000,0.00000,0.00000,0.00000
1.95000,0.00000,0.00000,0.00535,0.00535
1.97000,0.00000,0.00000,0.01168,0.01168
1.99000,0.00000,0.00000,0.02448,0.02448
2.01000,0.00000,0.00000,0.04929,0.04929
2.03000,0.00000,0.00000,0.09537,0.09537
2.05000,0.00000,0.00000,0.17728,0.17728
2.07000,0.00000,0.00000,0.31663,0.31663
2.09000,0.00000,0.00000,0.54334,0.54334
2.11000,0.00000,0.00000,0.89582,0.89582
2.13000,0.00000,0.00000,1.41904,1.41904
2.15000,0.00000,0.00000,2.15973,2.15973
2.17000,0.00000,0.00000,3.15813,3.15813
2.19000,0.00000,0.00000,4.43701,4.43701
2.21000,0.00000,0.00000,5.98934,5.98934
2.23000,0.00000,0.00000,7.76775,7.76775
2.25000,0.00000,0.00000,9.67922,9.67922
2.27000,0.00000,0.00000,11.58813,11.58813
2.29000,0.00000,0.00000,13.32952,13.32952
2.31000,0.00000,0.00000,14.73140,14.73140
2.33000,0.00000,0.00000,15.64234,15.64234
2.35000,200.00000,200.00000,15.95833,15.95833
2.37000,0.00000,0.00000,15.64234,15.64234
2.39000,0.00000,0.00000,14.73140,14.73140
2.41000,0.00000,0.00000,13.32952,13.32952
2.43000,0.00000,0.00000,11.58813,11.58813
2.45000,0.00000,0.00000,9.67922,9.67922
2.47000,0.00000,0.00000,7.76775,7.76775
2.49000,0.00000,0.00000,5.98934,5.98934
2.51000,0.00000,0.00000,4.43701,4.43701
2.53000,0.00000,0.00000,3.15813,3.15813
