Q4,Si,Total,Si_smoothed,Total_smoothed
arbitrary units,counts,counts,counts,counts
Steinhardt Q4 Bond Orientational Order Parameter,Si,Total,Si_smoothed,Total_smoothed
0.00500,0.00000,0.00000,0.00000,0.00000
0.01500,0.00000,0.00000,0.00000,0.00000
0.02500,0.00000,0.00000,0.00000,0.00000
0.03500,0.00000,0.00000,0.00000,0.00000
0.04500,0.00000,0.00000,0.00000,0.00000
0.05500,0.00000,0.00000,0.00000,0.00000
0.06500,0.00000,0.00000,0.00000,0.00000
0.07500,0.00000,0.00000,0.00000,0.00000
0.08500,0.00000,0.00000,0.00000,0.00000
0.09500,0.00000,0.00000,0.00000,0.00000
0.10500,0.00000,0.00000,0.00134,0.00134
0.11500,0.00000,0.00000,0.00199,0.00199
0.12500,0.00000,0.00000,0.00292,0.00292
0.13500,0.00000,0.00000,0.00425,0.00425
0.14500,0.00000,0.00000,0.00612,0.00612
0.15500,0.00000,0.00000,0.00873,0.00873
0.16500,0.00000,0.00000,0.01232,0.01232
0.17500,0.00000,0.00000,0.01723,0.01723
0.18500,0.00000,0.00000,0.02384,0.02384
0.19500,0.00000,0.00000,0.03267,0.03267
0.20500,0.00000,0.00000,0.04432,0.04432
0.21500,0.00000,0.00000,0.05953,0.05953
0.22500,0.00000,0.00000,0.07916,0.07916
0.23500,0.00000,0.00000,0.10421,0.10421
0.24500,0.00000,0.00000,0.13584,0.13584
0.25500,0.00000,0.00000,0.17529,0.17529
0.26500,0.00000,0.00000,0.22396,0.22396
0.27500,0.00000,0.00000,0.28328,0.28328
0.28500,0.00000,0.00000,0.35476,0.35476
0.29500,0.00000,0.00000,0.43986,0.43986
0.30500,0.00000,0.00000,0.53994,0.53994
0.31500,0.00000,0.00000,0.65619,0.65619
0.32500,0.00000,0.00000,0.78954,0.78954
0.33500,0.00000,0.00000,0.94054,0.94054
0.34500,0.00000,0.00000,1.10926,1.10926
0.35500,0.00000,0.00000,1.29524,1.29524
0.36500,0.00000,0.00000,1.49735,1.49735
0.37500,0.00000,0.00000,1.71377,1.71377
0.38500,0.00000,0.00000,1.94196,1.94196
0.39500,0.00000,0.00000,2.17863,2.17863
0.40500,0.00000,0.00000,2.41983,2.41983
0.41500,0.00000,0.00000,2.66099,2.66099
0.42500,0.00000,0.00000,2.89706,2.89706
0.43500,0.00000,0.00000,3.12270,3.12270
0.44500,0.00000,0.00000,3.33242,3.33242
0.45500,0.00000,0.00000,3.52083,3.52083
0.46500,0.00000,0.00000,3.68289,3.68289
0.47500,0.00000,0.00000,3.81407,3.81407
0.48500,0.00000,0.00000,3.91063,3.91063
0.49500,0.00000,0.00000,3.96973,3.96973
0.50500,100.00000,100.00000,3.98963,3.98963
0.51500,0.00000,0.00000,3.96973,3.96973
0.52500,0.00000,0.00000,3.91063,3.91063
0.53500,0.00000,0.00000,3.81407,3.81407
0.54500,0.00000,0.00000,3.68289,3.68289
0.55500,0.00000,0.00000,3.52083,3.52083
0.56500,0.00000,0.00000,3.33242,3.33242
0.57500,0.00000,0.00000,3.12270,3.12270
0.58500,0.00000,0.00000,2.89706,2.89706
0.59500,0.00000,0.00000,2.66099,2.66099
0.60500,0.00000,0.00000,2.41983,2.41983
0.61500,0.00000,0.00000,2.17863,2.17863
0.62500,0.00000,0.00000,1.94196,1.94196
0.63500,0.00000,0.00000,1.71377,1.71377
0.64500,0.00000,0.00000,1.49735,1.49735
0.65500,0.00000,0.00000,1.29524,1.29524
0.66500,0.00000,0.00000,1.10926,1.10926
0.67500,0.00000,0.00000,0.94054,0.94054
0.68500,0.00000,0.00000,0.78954,0.78954
0.69500,0.00000,0.00000,0.65619,0.65619
0.70500,0.00000,0.00000,0.53994,0.53994
0.71500,0.00000,0.00000,0.43986,0.43986
0.72500,0.00000,0.00000,0.35476,0.35476
0.73500,0.00000,0.00000,0.28328,0.28328
0.74500,0.00000,0.00000,0.22396,0.22396
0.75500,0.00000,0.00000,0.17529,0.17529
0.76500,0.00000,0.00000,0.13584,0.13584
0.77500,0.00000,0.00000,0.10421,0.10421
0.78500,0.00000,0.00000,0.07916,0.07916
0.79500,0.00000,0.00000,0.05953,0.05953
0.80500,0.00000,0.00000,0.04432,0.04432
0.81500,0.00000,0.00000,0.03267,0.03267
0.82500,0.00000,0.00000,0.02384,0.02384
0.83500,0.00000,0.00000,0.01723,0.01723
0.84500,0.00000,0.00000,0.01232,0.01232
0.85500,0.00000,0.00000,0.00873,0.00873
0.86500,0.00000,0.00000,0.00612,0.00612
0.87500,0.00000,0.00000,0.00425,0.00425
0.88500,0.00000,0.00000,0.00292,0.00292
0.89500,0.00000,0.00000,0.00199,0.00199
0.90500,0.00000,0.00000,0.00134,0.00134
0.91500,0.00000,0.00000,0.00000,0.00000
0.92500,0.00000,0.00000,0.00000,0.00000
0.93500,0.00000,0.00000,0.00000,0.00000
0.94500,0.00000,0.00000,0.00000,0.00000
0.95500,0.00000,0.00000,0.00000,0.00000
0.96500,0.00000,0.00000,0.00000,0.00000
0.97500,0.00000,0.00000,0.00000,0.00000
0.98500,0.00000,0.00000,0.00000,0.00000
0.99500,0.00000,0.00000,0.00000,0.00000
