W6_hat,Si,Total,Si_smoothed,Total_smoothed
arbitrary units,counts,counts,counts,counts
Steinhardt Normalized W6 Bond Orientational Order Parameter,Si,Total,Si_smoothed,Total_smoothed
-0.19800,0.00000,0.00000,0.00000,0.00000
-0.19400,0.00000,0.00000,0.00000,0.00000
-0.19000,0.00000,0.00000,0.00000,0.00000
-0.18600,0.00000,0.00000,0.56439,0.56439
-0.18200,0.00000,0.00000,0.61090,0.61090
-0.17800,0.00000,0.00000,0.66020,0.66020
-0.17400,0.00000,0.00000,0.71233,0.71233
-0.17000,0.00000,0.00000,0.76735,0.76735
-0.16600,0.00000,0.00000,0.82529,0.82529
-0.16200,0.00000,0.00000,0.88620,0.88620
-0.15800,0.00000,0.00000,0.95007,0.95007
-0.15400,0.00000,0.00000,1.01693,1.01693
-0.15000,0.00000,0.00000,1.08674,1.08674
-0.14600,0.00000,0.00000,1.15949,1.15949
-0.14200,0.00000,0.00000,1.23514,1.23514
-0.13800,0.00000,0.00000,1.31362,1.31362
-0.13400,0.00000,0.00000,1.39485,1.39485
-0.13000,0.00000,0.00000,1.47873,1.47873
-0.12600,0.00000,0.00000,1.56515,1.56515
-0.12200,0.00000,0.00000,1.65398,1.65398
-0.11800,0.00000,0.00000,1.74505,1.74505
-0.11400,0.00000,0.00000,1.83820,1.83820
-0.11000,0.00000,0.00000,1.93322,1.93322
-0.10600,0.00000,0.00000,2.02990,2.02990
-0.10200,0.00000,0.00000,2.12800,2.12800
-0.09800,0.00000,0.00000,2.22729,2.22729
-0.09400,0.00000,0.00000,2.32748,2.32748
-0.09000,0.00000,0.00000,2.42828,2.42828
-0.08600,0.00000,0.00000,2.52941,2.52941
-0.08200,0.00000,0.00000,2.63053,2.63053
-0.07800,0.00000,0.00000,2.73132,2.73132
-0.07400,0.00000,0.00000,2.83144,2.83144
-0.07000,0.00000,0.00000,2.93053,2.93053
-0.06600,0.00000,0.00000,3.02825,3.02825
-0.06200,0.00000,0.00000,3.12422,3.12422
-0.05800,0.00000,0.00000,3.21808,3.21808
-0.05400,0.00000,0.00000,3.30946,3.30946
-0.05000,0.00000,0.00000,3.39799,3.39799
-0.04600,0.00000,0.00000,3.48332,3.48332
-0.04200,0.00000,0.00000,3.56507,3.56507
-0.03800,0.00000,0.00000,3.64292,3.64292
-0.03400,0.00000,0.00000,3.71651,3.71651
-0.03000,0.00000,0.00000,3.78552,3.78552
-0.02600,0.00000,0.00000,3.84966,3.84966
-0.02200,0.00000,0.00000,3.90862,3.90862
-0.01800,0.00000,0.00000,3.96214,3.96214
-0.01400,0.00000,0.00000,4.00997,4.00997
-0.01000,0.00000,0.00000,4.05189,4.05189
-0.00600,0.00000,0.00000,4.08771,4.08771
-0.00200,0.00000,0.00000,4.11725,4.11725
0.00200,0.00000,0.00000,4.14037,4.14037
0.00600,0.00000,0.00000,4.15696,4.15696
0.01000,0.00000,0.00000,4.16695,4.16695
0.01400,250.00000,250.00000,4.17029,4.17029
0.01800,0.00000,0.00000,4.16695,4.16695
0.02200,0.00000,0.00000,4.15696,4.15696
0.02600,0.00000,0.00000,4.14037,4.14037
0.03000,0.00000,0.00000,4.11725,4.11725
0.03400,0.00000,0.00000,4.08771,4.08771
0.03800,0.00000,0.00000,4.05189,4.05189
0.04200,0.00000,0.00000,4.00997,4.00997
0.04600,0.00000,0.00000,3.96214,3.96214
0.05000,0.00000,0.00000,3.90862,3.90862
0.05400,0.00000,0.00000,3.84966,3.84966
0.05800,0.00000,0.00000,3.78552,3.78552
0.06200,0.00000,0.00000,3.71651,3.71651
0.06600,0.00000,0.00000,3.64292,3.64292
0.07000,0.00000,0.00000,3.56507,3.56507
0.07400,0.00000,0.00000,3.48332,3.48332
0.07800,0.00000,0.00000,3.39799,3.39799
0.08200,0.00000,0.00000,3.30946,3.30946
0.08600,0.00000,0.00000,3.21808,3.21808
0.09000,0.00000,0.00000,3.12422,3.12422
0.09400,0.00000,0.00000,3.02825,3.02825
0.09800,0.00000,0.00000,2.93053,2.93053
0.10200,0.00000,0.00000,2.83144,2.83144
0.10600,0.00000,0.00000,2.73132,2.73132
0.11000,0.00000,0.00000,2.63053,2.63053
0.11400,0.00000,0.00000,2.52941,2.52941
0.11800,0.00000,0.00000,2.42828,2.42828
0.12200,0.00000,0.00000,2.32748,2.32748
0.12600,0.00000,0.00000,2.22729,2.22729
0.13000,0.00000,0.00000,2.12800,2.12800
0.13400,0.00000,0.00000,2.02990,2.02990
0.13800,0.00000,0.00000,1.93322,1.93322
0.14200,0.00000,0.00000,1.83820,1.83820
0.14600,0.00000,0.00000,1.74505,1.74505
0.15000,0.00000,0.00000,1.65398,1.65398
0.15400,0.00000,0.00000,1.56515,1.56515
0.15800,0.00000,0.00000,1.47873,1.47873
0.16200,0.00000,0.00000,1.39485,1.39485
0.16600,0.00000,0.00000,1.31362,1.31362
0.17000,0.00000,0.00000,1.23514,1.23514
0.17400,0.00000,0.00000,1.15949,1.15949
0.17800,0.00000,0.00000,1.08674,1.08674
0.18200,0.00000,0.00000,1.01693,1.01693
0.18600,0.00000,0.00000,0.95007,0.95007
0.19000,0.00000,0.00000,0.88620,0.88620
0.19400,0.00000,0.00000,0.82529,0.82529
0.19800,0.00000,0.00000,0.76735,0.76735
