Q,Bi-Bi,Total
0.01000,-0.46376,-0.46376
0.03000,-0.45897,-0.45897
0.05000,-0.44945,-0.44945
0.07000,-0.43539,-0.43539
0.09000,-0.41700,-0.41700
0.11000,-0.39460,-0.39460
0.13000,-0.36857,-0.36857
0.15000,-0.33934,-0.33934
0.17000,-0.30739,-0.30739
0.19000,-0.27326,-0.27326
0.21000,-0.23751,-0.23751
0.23000,-0.20073,-0.20073
0.25000,-0.16351,-0.16351
0.27000,-0.12646,-0.12646
0.29000,-0.09016,-0.09016
0.31000,-0.05519,-0.05519
0.33000,-0.02207,-0.02207
0.35000,0.00869,0.00869
0.37000,0.03667,0.03667
0.39000,0.06146,0.06146
0.41000,0.08278,0.08278
0.43000,0.10036,0.10036
0.45000,0.11406,0.11406
0.47000,0.12379,0.12379
0.49000,0.12956,0.12956
0.51000,0.13146,0.13146
0.53000,0.12965,0.12965
0.55000,0.12438,0.12438
0.57000,0.11597,0.11597
0.59000,0.10479,0.10479
0.61000,0.09128,0.09128
0.63000,0.07593,0.07593
0.65000,0.05924,0.05924
0.67000,0.04175,0.04175
0.69000,0.02402,0.02402
0.71000,0.00658,0.00658
0.73000,-0.01004,-0.01004
0.75000,-0.02534,-0.02534
0.77000,-0.03887,-0.03887
0.79000,-0.05023,-0.05023
0.81000,-0.05907,-0.05907
0.83000,-0.06512,-0.06512
0.85000,-0.06820,-0.06820
0.87000,-0.06820,-0.06820
0.89000,-0.06510,-0.06510
0.91000,-0.05896,-0.05896
0.93000,-0.04994,-0.04994
0.95000,-0.03828,-0.03828
0.97000,-0.02428,-0.02428
0.99000,-0.00832,-0.00832
1.01000,0.00917,0.00917
1.03000,0.02771,0.02771
1.05000,0.04678,0.04678
1.07000,0.06587,0.06587
1.09000,0.08445,0.08445
1.11000,0.10201,0.10201
1.13000,0.11805,0.11805
1.15000,0.13215,0.13215
1.17000,0.14393,0.14393
1.19000,0.15308,0.15308
1.21000,0.15940,0.15940
1.23000,0.16276,0.16276
1.25000,0.16315,0.16315
1.27000,0.16065,0.16065
1.29000,0.15546,0.15546
1.31000,0.14791,0.14791
1.33000,0.13839,0.13839
1.35000,0.12743,0.12743
1.37000,0.11563,0.11563
1.39000,0.10367,0.10367
1.41000,0.09231,0.09231
1.43000,0.08233,0.08233
1.45000,0.07456,0.07456
1.47000,0.06983,0.06983
1.49000,0.06895,0.06895
1.51000,0.07272,0.07272
1.53000,0.08188,0.08188
1.55000,0.09707,0.09707
1.57000,0.11889,0.11889
1.59000,0.14777,0.14777
1.61000,0.18408,0.18408
1.63000,0.22800,0.22800
1.65000,0.27960,0.27960
1.67000,0.33878,0.33878
1.69000,0.40530,0.40530
1.71000,0.47873,0.47873
1.73000,0.55854,0.55854
1.75000,0.64401,0.64401
1.77000,0.73433,0.73433
1.79000,0.82853,0.82853
1.81000,0.92556,0.92556
1.83000,1.02429,1.02429
1.85000,1.12353,1.12353
1.87000,1.22203,1.22203
1.89000,1.31855,1.31855
1.91000,1.41185,1.41185
1.93000,1.50073,1.50073
1.95000,1.58403,1.58403
1.97000,1.66070,1.66070
1.99000,1.72978,1.72978
2.01000,1.79041,1.79041
2.03000,1.84190,1.84190
