r,Bi-Bi,Total
0.01000,-0.00363,-0.00363
0.03000,-0.01090,-0.01090
0.05000,-0.01816,-0.01816
0.07000,-0.02542,-0.02542
0.09000,-0.03269,-0.03269
0.11000,-0.03995,-0.03995
0.13000,-0.04721,-0.04721
0.15000,-0.05448,-0.05448
0.17000,-0.06174,-0.06174
0.19000,-0.06900,-0.06900
0.21000,-0.07627,-0.07627
0.23000,-0.08353,-0.08353
0.25000,-0.09079,-0.09079
0.27000,-0.09806,-0.09806
0.29000,-0.10532,-0.10532
0.31000,-0.11258,-0.11258
0.33000,-0.11985,-0.11985
0.35000,-0.12711,-0.12711
0.37000,-0.13437,-0.13437
0.39000,-0.14164,-0.14164
0.41000,-0.14890,-0.14890
0.43000,-0.15617,-0.15617
0.45000,-0.16343,-0.16343
0.47000,-0.17069,-0.17069
0.49000,-0.17796,-0.17796
0.51000,-0.18522,-0.18522
0.53000,-0.19248,-0.19248
0.55000,-0.19975,-0.19975
0.57000,-0.20701,-0.20701
0.59000,-0.21427,-0.21427
0.61000,-0.22154,-0.22154
0.63000,-0.22880,-0.22880
0.65000,-0.23606,-0.23606
0.67000,-0.24333,-0.24333
0.69000,-0.25059,-0.25059
0.71000,-0.25785,-0.25785
0.73000,-0.26512,-0.26512
0.75000,-0.27238,-0.27238
0.77000,-0.27965,-0.27965
0.79000,-0.28691,-0.28691
0.81000,-0.29417,-0.29417
0.83000,-0.30144,-0.30144
0.85000,-0.30870,-0.30870
0.87000,-0.31596,-0.31596
0.89000,-0.32323,-0.32323
0.91000,-0.33049,-0.33049
0.93000,-0.33775,-0.33775
0.95000,-0.34502,-0.34502
0.97000,-0.35228,-0.35228
0.99000,-0.35954,-0.35954
1.01000,-0.36681,-0.36681
1.03000,-0.37407,-0.37407
1.05000,-0.38133,-0.38133
1.07000,-0.38860,-0.38860
1.09000,-0.39586,-0.39586
1.11000,-0.40312,-0.40312
1.13000,-0.41039,-0.41039
1.15000,-0.41765,-0.41765
1.17000,-0.42492,-0.42492
1.19000,-0.43218,-0.43218
1.21000,-0.43944,-0.43944
1.23000,-0.44671,-0.44671
1.25000,-0.45397,-0.45397
1.27000,-0.46123,-0.46123
1.29000,-0.46850,-0.46850
1.31000,-0.47576,-0.47576
1.33000,-0.48302,-0.48302
1.35000,-0.49029,-0.49029
1.37000,-0.49755,-0.49755
1.39000,-0.50481,-0.50481
1.41000,-0.51208,-0.51208
1.43000,-0.51934,-0.51934
1.45000,-0.52660,-0.52660
1.47000,-0.53387,-0.53387
1.49000,-0.54113,-0.54113
1.51000,-0.54840,-0.54840
1.53000,-0.55566,-0.55566
1.55000,-0.56292,-0.56292
1.57000,-0.57019,-0.57019
1.59000,-0.57745,-0.57745
1.61000,-0.58471,-0.58471
1.63000,-0.59198,-0.59198
1.65000,-0.59924,-0.59924
1.67000,-0.60650,-0.60650
1.69000,-0.61377,-0.61377
1.71000,-0.62103,-0.62103
1.73000,-0.62829,-0.62829
1.75000,-0.63556,-0.63556
1.77000,-0.64282,-0.64282
1.79000,-0.65008,-0.65008
1.81000,-0.65735,-0.65735
1.83000,-0.66461,-0.66461
1.85000,-0.67187,-0.67187
1.87000,-0.67914,-0.67914
1.89000,-0.68640,-0.68640
1.91000,-0.69367,-0.69367
1.93000,-0.70093,-0.70093
1.95000,-0.70819,-0.70819
1.97000,-0.71546,-0.71546
1.99000,-0.72272,-0.72272
2.01000,-0.72998,-0.72998
2.03000,-0.73725,-0.73725
2.05000,-0.74451,-0.74451
2.07000,-0.75177,-0.75177
2.09000,-0.75904,-0.75904
2.11000,-0.76630,-0.76630
2.13000,-0.77356,-0.77356
2.15000,-0.78083,-0.78083
2.17000,-0.78809,-0.78809
2.19000,-0.79535,-0.79535
2.21000,-0.80262,-0.80262
2.23000,-0.80988,-0.80988
2.25000,-0.81715,-0.81715
2.27000,-0.82441,-0.82441
2.29000,-0.83167,-0.83167
2.31000,-0.83894,-0.83894
2.33000,-0.84620,-0.84620
2.35000,-0.85346,-0.85346
2.37000,-0.86073,-0.86073
2.39000,-0.86799,-0.86799
2.41000,-0.87525,-0.87525
2.43000,-0.88252,-0.88252
2.45000,-0.88978,-0.88978
2.47000,-0.89704,-0.89704
2.49000,-0.90431,-0.90431
2.51000,-0.91157,-0.91157
2.53000,-0.91883,-0.91883
2.55000,-0.92610,-0.92610
2.57000,-0.93336,-0.93336
2.59000,-0.94062,-0.94062
2.61000,-0.94789,-0.94789
2.63000,-0.95515,-0.95515
2.65000,-0.96242,-0.96242
2.67000,-0.96968,-0.96968
2.69000,-0.97694,-0.97694
2.71000,-0.98421,-0.98421
2.73000,-0.99147,-0.99147
2.75000,-0.99873,-0.99873
2.77000,-1.00600,-1.00600
2.79000,-1.01326,-1.01326
2.81000,-0.52626,-0.52626
2.83000,-1.02779,-1.02779
2.85000,-1.03505,-1.03505
2.87000,-0.71969,-0.71969
2.89000,-0.88938,-0.88938
2.91000,-0.89775,-0.89775
2.93000,-0.74809,-0.74809
2.95000,0.02719,0.02719
2.97000,0.16841,0.16841
2.99000,-0.15687,-0.15687
3.01000,1.21397,1.21397
3.03000,0.42751,0.42751
3.05000,1.47276,1.47276
3.07000,1.29789,1.29789
3.09000,1.57466,1.57466
3.11000,1.10346,1.10346
3.13000,2.56105,2.56105
3.15000,0.61967,0.61967
3.17000,1.91568,1.91568
3.19000,3.19535,3.19535
3.21000,3.16096,3.16096
3.23000,0.54693,0.54693
3.25000,0.52908,0.52908
3.27000,0.93610,0.93610
3.29000,3.87101,3.87101
3.31000,2.71419,2.71419
3.33000,1.29313,1.29313
3.35000,1.13273,1.13273
3.37000,1.52365,1.52365
3.39000,1.50018,1.50018
3.41000,1.47690,1.47690
3.43000,0.77893,0.77893
3.45000,1.56508,1.56508
3.47000,0.60764,0.60764
3.49000,1.65091,1.65091
3.51000,1.23132,1.23132
3.53000,0.16065,0.16065
3.55000,0.92773,0.92773
3.57000,0.00028,0.00028
3.59000,0.37267,0.37267
3.61000,-0.28511,-0.28511
3.63000,0.21213,0.21213
3.65000,0.19648,0.19648
3.67000,-0.07138,-0.07138
3.69000,-0.33640,-0.33640
3.71000,1.27316,1.27316
3.73000,-0.60993,-0.60993
3.75000,0.48994,0.48994
3.77000,0.35005,0.35005
3.79000,-0.52136,-0.52136
3.81000,0.31748,0.31748
3.83000,0.42221,0.42221
3.85000,0.76628,0.76628
3.87000,0.03005,0.03005
3.89000,-0.46064,-0.46064
3.91000,-0.23597,-0.23597
3.93000,0.10415,0.10415
3.95000,0.08913,0.08913
3.97000,0.07419,0.07419
3.99000,0.29139,0.29139
4.01000,0.04454,0.04454
4.03000,0.25959,0.25959
4.05000,0.92969,0.92969
4.07000,-0.11312,-0.11312
4.09000,-0.01387,-0.01387
4.11000,-0.14094,-0.14094
4.13000,-0.49104,-0.49104
4.15000,-0.94939,-0.94939
4.17000,0.48396,0.48396
4.19000,-0.41678,-0.41678
4.21000,0.45044,0.45044
4.23000,-0.00397,-0.00397
4.25000,-0.12737,-0.12737
4.27000,-0.35812,-0.35812
4.29000,0.70823,0.70823
4.31000,0.04595,0.04595
4.33000,-0.39643,-0.39643
4.35000,0.86804,0.86804
4.37000,-0.31578,-0.31578
4.39000,-0.11792,-0.11792
4.41000,-0.02690,-0.02690
4.43000,0.48126,0.48126
4.45000,-0.78384,-0.78384
4.47000,0.96588,0.96588
4.49000,0.12221,0.12221
4.51000,-0.09813,-0.09813
4.53000,0.09220,0.09220
4.55000,-0.43145,-0.43145
4.57000,0.77160,0.77160
4.59000,0.45116,0.45116
4.61000,-0.77041,-0.77041
4.63000,-0.18162,-0.18162
4.65000,0.30247,0.30247
4.67000,0.18755,0.18755
4.69000,0.46839,0.46839
4.71000,-0.33445,-0.33445
4.73000,-0.15177,-0.15177
4.75000,-0.55549,-0.55549
4.77000,-0.17943,-0.17943
4.79000,-0.57979,-0.57979
4.81000,-0.20687,-0.20687
4.83000,-0.89147,-0.89147
4.85000,0.05227,0.05227
4.87000,-0.72296,-0.72296
4.89000,0.40161,0.40161
4.91000,-0.08598,-0.08598
